Action,start,end
L,2.0875780811131333,2.587510862937338
R,3.1102570134964496,3.610189795320655
R,4.3475467766484055,4.847479558472611
L,5.642231259332523,6.142164041156728
L,7.044479227183031,7.544412009007235
R,8.071184048166625,8.57111682999083
L,9.249943584745315,9.74987636656952
R,10.629481411773744,11.129414193597947
R,11.9041396793693,12.404072461193508
L,12.94901261301056,13.448945394834762
L,14.472140466782218,14.972073248606424
R,17.931617509374533,18.43155029119874
R,18.97917436874931,19.479107150573515
